Hotel Name,Hotel ID
Airport Inn,98037
Hampton Inn & Suites Memphis - Beale Street,223103
Hampton Inn & Suites Memphis-Shady Grove Road,105180
Residence Inn Memphis Downtown,310409
Madison Hotel,223774
La Quinta Inn & Suites Memphis Primacy Parkway,105151
Holiday Inn Univ of Memphis,249713
SpringHill Suites Memphis Downtown,223886
Sleep Inn at Court Square,105192
Embassy Suites Memphis,111855
