Hotel Name,Hotel ID
Doubletree by Hilton Hotel Detroit-Dearborn,95302
The Westin Detroit Metropolitan Airport,90003
Courtyard by Marriott Detroit Downtown,114661
Marriott Detroit Airport,94554
Inn on Ferry Street,242702
Hilton Garden Inn Detroit Downtown,288605
The Atheneum,95294
Detroit Marriott at the Renaissance Center,224064
Holiday Inn Express Detroit - Downtown,256897
Milner Hotel,89592
