Hotel Name,Hotel ID
Hampton Inn Charlotte - South Park,100549
Staybridge Suites Charlotte Ballantyne,223373
Hilton Charlotte University Place,94136
Drury Inn & Suites Charlotte North,100613
Hyatt Place Charlotte Airport/Tyvola Road,100524
La Quinta Inn & Suites Charlotte Airport South,100518
Residence Inn Charlotte South at I-77/Tyvola Road,100515
Dunhill Hotel,301309
Wingate By Wyndham Charlotte Airport I-85/I-485,239806
Hampton Inn Charlotte - Uptown,223199
