Hotel Name,Hotel ID
Wingate by Wyndham Jacksonville Airport,261234
Holiday Inn Express Hotel & Suites Jacksonville South,88458
BEST WESTERN Hotel JTB / Southpoint,84656
Hampton Inn Jacksonville-Downtown-I-95,88417
Jacksonville Marriott,84654
La Quinta Inn & Suites Jacksonville Butler Blvd,88442
Crowne Plaza Jacksonville Riverfront Hotel,88460
Hilton Garden Inn Jacksonville Airport,224590
Omni Jacksonville Hotel,84655
SpringHill Suites Jacksonville / Deerwood,120153
