Hotel Name,Hotel ID
The Blackwell,246937
Drury Inn & Suites Columbus Convention Center,258165
Hampton Inn and Suites Columbus Downtown,223750
Red Roof Inn Columbus Downtown - Convention Center,122237
Columbus Airport Marriott,95265
Hyatt Regency Columbus,95253
Staybridge Suites Columbus Airport,223223
Comfort Suites Airport,101636
BEST WESTERN PLUS Franklin Park Suites - Polaris,240076
Crowne Plaza Columbus Downtown,95247
