Hotel Name,Hotel ID
"Rittenhouse 1715, A Boutique Hotel",226730
Hilton Inn at Penn,224280
The Rittenhouse Hotel,96735
Four Seasons Hotel Philadelphia,112124
BEST WESTERN PLUS Independence Park Hotel,74363
Alexander Inn,122315
Sofitel Philadelphia Hotel,122343
Courtyard Philadelphia Downtown,102463
Westin Philadelphia,220059
Omni Hotel at Independence Park,112134
