Hotel Name,Hotel ID
Royal Palms Resort and Spa,73943
Radisson Hotel Phoenix Airport,564652
Hampton Inn Phoenix Airport North,119356
Sheraton Crescent Hotel,73947
DoubleTree Suites by Hilton Phoenix,115482
Holiday Inn Express Phoenix Airport (University Drive),75662
Residence Inn Phoenix Airport,74545
Marriott's Canyon Villas,286542
Embassy Suites Hotel Phoenix Biltmore,112154
SpringHill Suites Phoenix Downtown,223861
