Hotel Name,Hotel ID
Magnolia Hotel Denver,83040
Courtyard by Marriott Denver Downtown,119993
JW Marriott Denver Cherry Creek,308759
Hotel Teatro,120058
Hotel Monaco Denver - a Kimpton Hotel,120056
The Brown Palace Hotel and Spa,83088
The Oxford Hotel,83093
Fairfield Inn Denver Airport,119992
Grand Hyatt Denver Downtown,83046
Warwick Denver Hotel,83097
